ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
15.0,3.959,75859.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
38.0,4.16,81355.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
21.0,4.43,80680.0,3.82,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6.0,3.955,188203.0,3.82,0,1,1,1,0,0,0,0,0,0,0,0,0,0
38.0,4.327,115984.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
23.0,3.955,90052.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
36.0,4.45,112759.0,3.82,0,1,1,1,0,0,0,0,0,0,0,1,0,0
32.0,4.371,89644.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
14.0,4.518,119659.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9.0,4.0,36607.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35.0,4.343,74920.0,4.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
13.0,3.4719294297574828,65997.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.0,4.415,106539.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
26.0,3.937,75000.0,3.76,0,1,1,1,0,0,0,0,0,0,0,0,0,0
23.0,4.389,105646.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15.0,4.5,69027.0,3.63,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18.0,4.216,103305.0,3.93,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30.0,4.407,100653.0,2.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0
13.0,4.336,46521.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
25.0,4.169,71145.0,3.75,0,1,1,1,0,0,0,0,1,0,0,0,0,0
30.0,4.173,53992.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
21.0,4.078,142439.0,3.81,0,1,1,1,0,0,0,0,1,0,0,0,0,0
37.0,4.0,72651.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
12.0,4.098,93529.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
8.0,3.965,53534.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12.0,4.216,108753.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15.0,4.187,50131.0,3.75,0,1,1,1,0,0,0,0,1,0,0,0,0,0
24.0,4.488,67717.0,3.71,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30.0,3.839,48196.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
14.0,4.274,49636.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
50.0,4.819,59675.0,3.82,0,1,1,1,0,0,0,0,0,0,0,1,0,0
21.0,4.0,41476.0,3.64,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12.0,4.222,86542.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12.0,4.009,105558.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
43.0,3.946,57137.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.0,3.951,125614.0,3.67,0,1,1,1,0,0,0,0,0,0,0,0,0,0
50.0,4.279,47135.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
27.0,4.149,105523.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,3.99,59623.0,3.92,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23.0,4.571,79783.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
33.0,4.238,37134.0,3.75,0,1,1,1,0,0,0,0,1,0,0,1,0,0
23.0,4.733,45446.0,3.12,0,1,1,1,0,0,0,0,0,0,0,0,0,0
31.0,4.266,57369.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
23.0,4.359,128958.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24.0,4.346,84697.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
5.0,4.387,57627.0,3.94,0,1,1,1,0,0,0,0,1,0,0,0,0,0
21.0,4.403,37921.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9.0,4.223,73493.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29.0,4.127,53937.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
28.0,4.14,65640.0,4.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
11.0,4.483,107178.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5.0,3.982,62826.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
17.0,4.25,27427.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.8,139207.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11.0,4.33,76034.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19.0,4.518,55308.0,3.25,0,1,1,1,0,0,0,0,1,0,0,0,0,0
27.0,4.051,96725.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
42.0,4.624,60022.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
14.0,4.284,57591.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
31.0,4.205,40251.0,3.74,1,1,1,1,0,0,0,0,0,0,0,1,0,0
25.0,4.288,73962.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11.0,3.92,71051.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35.0,4.013,107540.0,3.82,0,1,1,1,0,0,0,0,0,0,0,1,0,0
18.0,4.204,51311.0,3.82,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24.0,4.444,89772.0,3.44,0,1,1,1,0,0,0,0,1,0,0,0,0,0
17.0,4.785,57940.0,3.67,1,1,1,1,0,0,0,0,0,0,0,0,0,0
33.0,4.332,75032.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
30.0,4.249,71586.0,3.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0
21.0,4.165,109972.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34.0,3.963,59763.0,2.54,0,1,1,1,0,0,0,0,1,0,0,1,0,0
14.0,4.469,131137.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,4.211,79625.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
20.0,4.277,56786.0,3.57,0,1,1,1,0,0,0,0,0,0,0,0,0,0
27.0,4.223,63136.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35.5,4.262,42834.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
23.0,4.257,58528.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
35.0,4.229,76706.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
9.0,3.942,66913.0,2.67,1,1,1,1,0,0,0,0,1,0,0,0,0,0
18.0,4.153,138676.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19.0,4.203,76166.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20.0,4.25,127170.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4.0,4.24,101695.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
37.0,4.385,80540.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
25.0,4.315,73472.0,3.71,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.474,63706.0,3.79,0,1,1,1,0,0,0,0,0,0,0,0,0,0
25.0,4.48,136140.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
27.0,4.428,78091.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
46.0,4.457,102977.0,3.81,0,1,1,1,0,0,0,0,1,0,0,1,0,0
23.0,4.087,69497.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28.0,3.953,53065.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
9.0,4.512,51794.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10.0,4.322,106173.0,3.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0
27.0,4.047,143561.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
